sample_id,true_label,scenario,predicted_label,exit_point,confidence,inference_ms
158,1,lunch_restart,1,1,0.906198,1.519013
159,0,lunch_restart,0,1,0.981339,1.448404
160,0,imbalanced_ap_load,0,1,0.968629,1.462144
161,1,startup_surge,1,2,0.986884,1.457015
162,1,startup_surge,1,1,0.944038,1.514273
163,1,startup_surge,1,2,0.961971,1.480829
164,2,emergency_ramp,2,1,0.857114,1.449515
165,2,startup_surge,2,2,0.995906,1.506755
166,0,imbalanced_ap_load,0,2,0.866172,1.455255
167,1,lunch_restart,1,1,0.9269,1.52544
168,1,startup_surge,1,1,0.935623,1.458848
169,3,lunch_restart,3,2,0.994806,1.460904
170,0,lunch_restart,0,3,0.908873,1.477737
171,1,startup_surge,1,1,0.954574,1.546458
172,1,startup_surge,1,2,0.985062,1.470811
173,1,lunch_restart,2,3,0.69443,1.55742
174,0,startup_surge,0,2,0.977593,1.491422
175,1,imbalanced_ap_load,1,1,0.944197,1.517736
176,0,startup_surge,0,1,0.986389,1.473329
177,2,emergency_ramp,1,3,0.636965,1.543384
178,2,startup_surge,2,1,0.870489,1.476681
179,0,startup_surge,0,1,0.976133,1.486421
180,0,imbalanced_ap_load,0,3,0.930947,1.491959
181,0,emergency_ramp,0,1,0.976841,1.470144
182,1,lunch_restart,1,1,0.908482,1.49794
183,2,lunch_restart,2,2,0.965227,1.462088
184,1,lunch_restart,1,1,0.911487,1.520273
185,2,imbalanced_ap_load,2,2,0.894805,1.455811
186,1,emergency_ramp,1,2,0.99264,1.537069
187,2,lunch_restart,2,1,0.865166,1.4607
188,1,startup_surge,1,1,0.871055,1.529273
189,3,lunch_restart,3,2,0.883889,1.464681
190,2,emergency_ramp,2,2,0.966999,1.542958
191,2,startup_surge,2,3,0.896688,1.47094
192,1,lunch_restart,1,2,0.978519,1.52818
193,2,startup_surge,2,3,0.941432,1.475922
194,3,lunch_restart,3,2,0.87013,1.502199
195,2,lunch_restart,2,3,0.845472,1.461551
196,1,startup_surge,1,2,0.990738,1.457514
197,2,startup_surge,3,3,0.77674,1.500606
198,2,emergency_ramp,2,1,0.865408,1.491829
199,1,emergency_ramp,1,2,0.949,1.486829
200,1,startup_surge,1,2,0.900026,1.47983
201,2,imbalanced_ap_load,2,2,0.858211,5.00659
202,1,startup_surge,1,2,0.990728,1.428663
203,2,lunch_restart,2,2,0.995966,5.836854
204,1,imbalanced_ap_load,1,2,0.888885,2.220836
205,1,startup_surge,1,2,0.973418,2.129486
206,1,imbalanced_ap_load,1,1,0.948532,1.575513
207,1,imbalanced_ap_load,1,1,0.9253,1.485903
208,2,startup_surge,2,1,0.881245,4.066659
209,1,lunch_restart,1,1,0.913792,2.411389
210,1,imbalanced_ap_load,1,1,0.948303,1.4707
211,1,lunch_restart,1,3,0.622184,1.546051
212,3,imbalanced_ap_load,3,2,0.873435,1.489329
213,1,lunch_restart,1,2,0.989304,1.555513
214,2,emergency_ramp,2,2,0.99675,1.476792
215,2,imbalanced_ap_load,2,2,0.906828,1.533106
216,1,imbalanced_ap_load,1,3,0.833147,1.497569
217,2,imbalanced_ap_load,2,2,0.9897,1.488921
218,1,startup_surge,1,1,0.900015,1.458015
219,0,startup_surge,0,2,0.997455,1.561587
220,1,emergency_ramp,1,3,0.79163,1.456773
221,1,startup_surge,1,1,0.901403,1.538939
222,1,lunch_restart,1,2,0.937857,1.482941
223,2,startup_surge,3,3,0.83631,1.516069
224,2,imbalanced_ap_load,2,2,0.997875,1.477829
225,1,startup_surge,1,1,0.888636,1.531977
226,0,emergency_ramp,0,1,0.90635,1.459978
227,1,lunch_restart,1,2,0.850987,1.564143
228,1,imbalanced_ap_load,1,2,0.993325,1.478292
229,0,lunch_restart,0,1,0.99795,1.528884
230,1,lunch_restart,1,1,0.873932,1.477996
231,2,startup_surge,2,2,0.953747,1.484681
232,1,startup_surge,1,1,0.936925,1.48457
233,1,imbalanced_ap_load,1,1,0.932518,1.458848
234,1,startup_surge,1,2,0.993805,1.516791
235,1,startup_surge,1,2,0.986895,1.462015
236,0,emergency_ramp,0,3,0.798825,1.535791
237,1,lunch_restart,1,2,0.993413,1.46681
238,1,lunch_restart,1,1,0.907693,1.517828
239,2,startup_surge,3,3,0.681732,1.447033
240,2,emergency_ramp,2,1,0.857723,1.518495
241,1,emergency_ramp,1,1,0.944616,1.414996
242,0,startup_surge,0,2,0.990504,1.538903
243,2,lunch_restart,2,2,0.912362,1.472348
244,2,emergency_ramp,2,2,0.93922,1.50057
245,0,imbalanced_ap_load,0,1,0.968561,1.474773
246,2,lunch_restart,2,2,0.997619,1.455959
247,1,imbalanced_ap_load,1,1,0.910416,1.505181
248,1,lunch_restart,1,1,0.901884,1.46307
249,1,emergency_ramp,1,2,0.980239,1.529588
250,2,lunch_restart,2,2,0.990374,1.415701
251,2,startup_surge,3,3,0.573485,1.531884
252,2,emergency_ramp,3,3,0.955548,1.482422
253,1,lunch_restart,1,2,0.983375,1.535977
254,2,emergency_ramp,2,2,0.996348,1.460922
255,1,imbalanced_ap_load,1,1,0.856771,1.546365
256,2,imbalanced_ap_load,2,2,0.993805,1.464422
257,1,imbalanced_ap_load,1,1,0.925673,1.536014
258,1,emergency_ramp,1,1,0.927703,1.461922
259,1,imbalanced_ap_load,1,2,0.88012,1.490792
260,2,emergency_ramp,2,2,0.941156,1.465014
261,0,startup_surge,0,2,0.864777,1.51631
262,0,startup_surge,0,2,0.993189,1.494162
263,1,lunch_restart,1,1,0.944081,1.459218
264,1,lunch_restart,1,1,0.928459,1.562809
265,2,emergency_ramp,2,2,0.998547,1.478607
266,1,imbalanced_ap_load,1,3,0.853552,1.549143
267,0,emergency_ramp,0,2,0.880326,1.490348
268,2,startup_surge,2,2,0.989624,1.508514
269,1,startup_surge,1,2,0.979982,1.495625
270,1,emergency_ramp,1,1,0.915731,1.540958
271,1,imbalanced_ap_load,1,2,0.915211,1.463218
272,1,emergency_ramp,1,2,0.996077,1.555754
273,2,lunch_restart,2,2,0.884729,1.476421
274,2,lunch_restart,2,2,0.960246,1.54405
275,2,startup_surge,2,1,0.866725,1.4717
276,2,lunch_restart,2,2,0.932913,1.509236
277,2,lunch_restart,2,3,0.72806,1.461478
278,1,lunch_restart,1,1,0.934643,1.58742
279,2,imbalanced_ap_load,2,2,0.994777,1.476866
280,1,startup_surge,1,2,0.993462,1.493792
281,1,startup_surge,1,1,0.910073,1.51057
282,3,startup_surge,3,2,0.966162,1.456107
283,2,startup_surge,2,2,0.981368,1.489292
284,0,lunch_restart,0,2,0.937836,1.456089
285,1,emergency_ramp,1,2,0.942279,1.502847
286,2,emergency_ramp,2,2,0.995023,1.452163
287,2,startup_surge,2,2,0.975784,1.532403
288,0,imbalanced_ap_load,0,1,0.989496,1.452126
289,1,imbalanced_ap_load,1,1,0.891597,1.522144
290,1,emergency_ramp,1,2,0.982762,1.4467
291,0,startup_surge,0,1,0.969093,1.524662
292,2,emergency_ramp,2,1,0.866947,1.450867
293,0,imbalanced_ap_load,0,3,0.653166,1.507125
294,2,emergency_ramp,2,3,0.929143,1.435478
295,1,startup_surge,1,2,0.912664,1.501866
296,2,lunch_restart,2,2,0.940704,1.492181
297,1,startup_surge,1,1,0.93802,1.52031
298,1,emergency_ramp,1,2,0.881461,1.485681
299,3,imbalanced_ap_load,3,3,0.908847,1.469348
300,2,lunch_restart,2,2,0.899924,1.490755
301,1,startup_surge,1,1,0.940578,1.444589
302,1,emergency_ramp,1,1,0.879774,1.546328
303,0,lunch_restart,0,1,0.860953,1.416219
304,1,emergency_ramp,1,3,0.804577,1.550291
305,2,startup_surge,2,1,0.881557,1.483051
306,1,startup_surge,1,2,0.995845,1.541717
307,2,lunch_restart,2,2,0.986095,1.513662
308,1,emergency_ramp,1,1,0.93422,1.535106
309,0,lunch_restart,0,1,0.964255,1.481163
310,2,emergency_ramp,2,2,0.997668,1.515977
311,1,emergency_ramp,1,2,0.911723,1.489089
312,0,startup_surge,0,2,0.995846,1.474662
313,1,lunch_restart,0,3,0.944304,1.48718
314,3,emergency_ramp,3,2,0.992235,1.504014
315,3,startup_surge,3,3,0.730055,1.499125
316,1,startup_surge,1,1,0.935011,1.47307
317,1,startup_surge,1,1,0.949459,1.495773
318,3,lunch_restart,3,2,0.988708,1.442978
319,0,emergency_ramp,0,2,0.992164,1.528032
320,0,lunch_restart,0,1,0.996204,1.448477
321,1,startup_surge,1,1,0.936112,1.479015
322,2,startup_surge,2,2,0.976172,1.451014
323,0,imbalanced_ap_load,0,1,0.904885,1.52668
324,1,imbalanced_ap_load,1,1,0.954688,1.471385
325,1,lunch_restart,1,1,0.891198,1.516125
326,1,startup_surge,1,2,0.975271,1.478125
327,2,emergency_ramp,2,2,0.97509,1.49894
328,3,startup_surge,3,2,0.989977,1.487755
329,0,lunch_restart,0,1,0.970175,1.473255
330,1,emergency_ramp,1,2,0.997099,1.464848
331,3,startup_surge,3,3,0.951613,1.483755
332,1,lunch_restart,1,2,0.995416,1.481533
333,2,startup_surge,2,1,0.858888,1.452607
334,1,startup_surge,1,1,0.946284,1.512162
335,2,startup_surge,2,1,0.870862,1.472255
336,2,imbalanced_ap_load,2,2,0.996017,1.564588
337,2,startup_surge,2,1,0.863784,1.467978
338,1,startup_surge,1,1,0.892703,1.528662
339,0,startup_surge,0,3,0.504642,1.409386
340,2,emergency_ramp,2,2,0.980399,1.50544
341,1,emergency_ramp,1,2,0.991879,1.480996
342,2,startup_surge,2,1,0.865845,1.518291
343,0,startup_surge,0,2,0.948768,1.48007
344,0,emergency_ramp,0,1,0.927114,1.460052
345,2,startup_surge,2,2,0.997709,1.478403
346,1,startup_surge,1,1,0.893182,1.445663
347,3,imbalanced_ap_load,3,2,0.971857,1.517032
348,0,lunch_restart,0,1,0.980518,1.420034
349,1,startup_surge,1,1,0.854047,1.532161
350,0,startup_surge,0,1,0.868287,1.460385
