sample_id,timestep,rps,channel_occupancy,packet_loss,latency,label,scenario
3,4,0.010634,0.063506,0.004687,0.022753,0,lunch_restart
3,5,0.024806,0.095049,0.006557,0.017386,0,lunch_restart
3,6,0.014707,0.091473,0.003587,0.015569,0,lunch_restart
3,7,0.029933,0.050225,0.002955,0.012304,0,lunch_restart
3,8,0.015737,0.061202,0.002205,0.01916,0,lunch_restart
3,9,0.012915,0.090364,0.000829,0.010705,0,lunch_restart
4,0,0.12962,0.284663,0.081444,0.075441,0,startup_surge
4,1,0.180254,0.266232,0.062383,0.072276,0,startup_surge
4,2,0.172189,0.23333,0.102219,0.101085,0,startup_surge
4,3,0.189101,0.253371,0.050403,0.108971,0,startup_surge
4,4,0.191019,0.296274,0.100099,0.110781,0,startup_surge
4,5,0.189458,0.345833,0.097511,0.11308,0,startup_surge
4,6,0.209698,0.364822,0.140181,0.13516,0,startup_surge
4,7,0.241209,0.422986,0.070756,0.109446,0,startup_surge
4,8,0.232922,0.381758,0.204508,0.11796,0,startup_surge
4,9,0.245981,0.394695,0.134482,0.128814,0,startup_surge
5,0,0.294819,0.476006,0.229803,0.221176,1,lunch_restart
5,1,0.278251,0.495505,0.211641,0.237388,1,lunch_restart
5,2,0.299298,0.517938,0.268311,0.246197,1,lunch_restart
5,3,0.310403,0.550021,0.256734,0.244944,1,lunch_restart
5,4,0.317817,0.56033,0.265771,0.266747,1,lunch_restart
5,5,0.353744,0.532848,0.239722,0.299524,1,lunch_restart
5,6,0.345145,0.566243,0.287835,0.297701,1,lunch_restart
5,7,0.370324,0.595577,0.265735,0.316527,1,lunch_restart
5,8,0.380118,0.585943,0.274351,0.313226,1,lunch_restart
5,9,0.390444,0.547776,0.24918,0.292172,1,lunch_restart
6,0,0.657674,0.757733,0.457057,0.378777,2,startup_surge
6,1,0.451073,0.715734,0.391156,0.333193,2,startup_surge
6,2,0.509322,0.665506,0.269385,0.35829,2,startup_surge
6,3,0.613563,0.709059,0.393547,0.324263,2,startup_surge
6,4,0.561555,0.758007,0.38682,0.381676,2,startup_surge
6,5,0.479363,0.742699,0.213093,0.255779,2,startup_surge
6,6,0.466198,0.774594,0.382068,0.21441,2,startup_surge
6,7,0.685838,0.752771,0.359775,0.181467,2,startup_surge
6,8,0.662112,0.680514,0.286841,0.18744,2,startup_surge
6,9,0.529762,0.668019,0.271675,0.367849,2,startup_surge
7,0,0.344591,0.447692,0.192128,0.211784,2,startup_surge
7,1,0.338512,0.474094,0.207838,0.169184,2,startup_surge
7,2,0.380319,0.521712,0.236432,0.185159,2,startup_surge
7,3,0.38497,0.506577,0.181434,0.191201,2,startup_surge
7,4,0.389318,0.558789,0.249194,0.2132,2,startup_surge
7,5,0.396232,0.556696,0.259657,0.20254,2,startup_surge
7,6,0.554339,0.714416,0.236713,0.350632,2,startup_surge
7,7,0.694242,0.731967,0.230467,0.326044,2,startup_surge
7,8,0.561946,0.764489,0.46784,0.327907,2,startup_surge
7,9,0.454109,0.736138,0.209212,0.373969,2,startup_surge
8,0,0.068822,0.196584,0.032303,0.03828,0,startup_surge
8,1,0.083422,0.147228,0.01318,0.026579,0,startup_surge
8,2,0.086959,0.178372,0.00996,0.054176,0,startup_surge
8,3,0.071109,0.16581,0.030666,0.057717,0,startup_surge
8,4,0.057169,0.151818,0.016222,0.023981,0,startup_surge
8,5,0.069335,0.10421,0.020478,0.050067,0,startup_surge
8,6,0.093552,0.16575,0.023195,0.028601,0,startup_surge
8,7,0.066554,0.16426,0.029047,0.020269,0,startup_surge
8,8,0.053132,0.112487,0.004325,0.030425,0,startup_surge
8,9,0.097957,0.179591,0.002722,0.054196,0,startup_surge
9,0,0.016351,0.086752,0.004421,0.028083,0,lunch_restart
9,1,0.02293,0.09998,0.005287,0.012359,0,lunch_restart
9,2,0.027803,0.07051,0.000813,0.02283,0,lunch_restart
9,3,0.012773,0.076121,0.00385,0.026802,0,lunch_restart
9,4,0.020935,0.082557,0.00567,0.025738,0,lunch_restart
9,5,0.011768,0.096028,0.003378,0.010199,0,lunch_restart
9,6,0.01443,0.089851,0.006159,0.019044,0,lunch_restart
9,7,0.016182,0.053221,0.000319,0.012307,0,lunch_restart
9,8,0.021582,0.085648,0.006128,0.013057,0,lunch_restart
9,9,0.021098,0.062597,0.006515,0.024126,0,lunch_restart
10,0,0.060329,0.141802,0.007862,0.045718,0,startup_surge
10,1,0.050571,0.187277,0.031361,0.026565,0,startup_surge
10,2,0.085685,0.17256,0.025652,0.055515,0,startup_surge
10,3,0.071873,0.189758,0.01071,0.020947,0,startup_surge
10,4,0.085927,0.12877,0.02608,0.028709,0,startup_surge
10,5,0.069391,0.146543,0.030675,0.046197,0,startup_surge
10,6,0.0686,0.166733,0.025646,0.046971,0,startup_surge
10,7,0.095327,0.187082,0.013003,0.038308,0,startup_surge
10,8,0.063432,0.160914,0.005918,0.029806,0,startup_surge
10,9,0.069141,0.104881,0.026269,0.044879,0,startup_surge
11,0,0.397243,0.509332,0.141154,0.195037,1,imbalanced_ap_load
11,1,0.368753,0.500314,0.162059,0.190539,1,imbalanced_ap_load
11,2,0.405019,0.505725,0.148243,0.191985,1,imbalanced_ap_load
11,3,0.405272,0.546394,0.177298,0.21534,1,imbalanced_ap_load
11,4,0.401189,0.562333,0.193117,0.206604,1,imbalanced_ap_load
11,5,0.414279,0.531339,0.2056,0.230427,1,imbalanced_ap_load
11,6,0.429245,0.532174,0.169925,0.195244,1,imbalanced_ap_load
11,7,0.43962,0.571729,0.197426,0.247291,1,imbalanced_ap_load
11,8,0.465571,0.562458,0.218841,0.246096,1,imbalanced_ap_load
11,9,0.460674,0.571301,0.197677,0.255294,1,imbalanced_ap_load
12,0,0.930588,0.989762,0.906973,0.890668,3,emergency_ramp
12,1,0.935939,0.953311,0.897821,0.840731,3,emergency_ramp
12,2,0.937323,0.94439,0.898168,0.989648,3,emergency_ramp
12,3,0.99002,0.97707,0.894126,0.928618,3,emergency_ramp
12,4,1.0,1.0,0.991002,0.936967,3,emergency_ramp
12,5,0.990891,0.961285,0.894824,0.949372,3,emergency_ramp
12,6,0.98591,0.960652,0.952232,0.980723,3,emergency_ramp
12,7,1.0,0.929935,1.0,1.0,3,emergency_ramp
12,8,0.995669,0.944175,0.927077,0.985201,3,emergency_ramp
12,9,0.995156,1.0,1.0,0.950289,3,emergency_ramp
13,0,0.029984,0.116095,0.0,0.031315,0,lunch_restart
13,1,0.033477,0.122858,0.014957,0.035373,0,lunch_restart
13,2,0.053365,0.103617,0.018308,0.04663,0,lunch_restart
13,3,0.046724,0.133906,0.024405,0.04315,0,lunch_restart
13,4,0.042659,0.147544,0.0,0.036824,0,lunch_restart
13,5,0.041155,0.157099,0.038861,0.043087,0,lunch_restart
13,6,0.052815,0.131989,0.022239,0.053241,0,lunch_restart
13,7,0.048797,0.166874,0.025313,0.048282,0,lunch_restart
13,8,0.071414,0.175557,0.041573,0.070183,0,lunch_restart
13,9,0.086241,0.196207,0.039252,0.058056,0,lunch_restart
14,0,0.129932,0.27489,0.094544,0.08289,1,lunch_restart
14,1,0.130423,0.261246,0.092149,0.090857,1,lunch_restart
14,2,0.140693,0.313677,0.111356,0.131116,1,lunch_restart
14,3,0.167132,0.296439,0.093132,0.120401,1,lunch_restart
14,4,0.171873,0.320263,0.103325,0.127985,1,lunch_restart
14,5,0.180922,0.33546,0.144468,0.129686,1,lunch_restart
14,6,0.168816,0.360507,0.132,0.143473,1,lunch_restart
14,7,0.176445,0.365132,0.136802,0.149741,1,lunch_restart
14,8,0.206216,0.393099,0.14252,0.182246,1,lunch_restart
14,9,0.211658,0.43944,0.162323,0.167942,1,lunch_restart
15,0,0.093453,0.183967,0.029139,0.031493,0,startup_surge
15,1,0.074029,0.130355,0.019653,0.020529,0,startup_surge
15,2,0.078975,0.109551,0.01014,0.030667,0,startup_surge
15,3,0.057908,0.146044,0.016418,0.048593,0,startup_surge
15,4,0.093107,0.10987,0.000629,0.044241,0,startup_surge
15,5,0.096919,0.129767,0.027245,0.026324,0,startup_surge
15,6,0.072379,0.191811,0.026754,0.051738,0,startup_surge
15,7,0.051007,0.165355,0.016944,0.02594,0,startup_surge
15,8,0.051353,0.178344,0.012585,0.051818,0,startup_surge
15,9,0.065115,0.154058,0.005753,0.040505,0,startup_surge
16,0,0.015167,0.082882,0.000254,0.02162,0,lunch_restart
16,1,0.019084,0.08414,0.003604,0.017545,0,lunch_restart
16,2,0.014313,0.071137,0.00051,0.017599,0,lunch_restart
16,3,0.022491,0.09036,0.003674,0.018002,0,lunch_restart
16,4,0.01308,0.08357,0.000248,0.028614,0,lunch_restart
16,5,0.017183,0.085614,0.003315,0.025421,0,lunch_restart
16,6,0.025179,0.056471,0.002847,0.026012,0,lunch_restart
16,7,0.021833,0.077368,0.006384,0.010863,0,lunch_restart
16,8,0.035666,0.112257,0.003982,0.025956,0,lunch_restart
16,9,0.039417,0.108999,0.0,0.030827,0,lunch_restart
17,0,0.042253,0.142529,0.030433,0.034726,0,lunch_restart
17,1,0.04978,0.144517,0.009429,0.047301,0,lunch_restart
17,2,0.069559,0.165879,0.037373,0.048645,0,lunch_restart
17,3,0.065592,0.173544,0.039335,0.063767,0,lunch_restart
17,4,0.072027,0.173713,0.053084,0.077015,0,lunch_restart
17,5,0.082204,0.197144,0.059201,0.079644,0,lunch_restart
17,6,0.08411,0.219715,0.064416,0.079718,0,lunch_restart
17,7,0.076033,0.219655,0.046242,0.066657,0,lunch_restart
17,8,0.085515,0.212472,0.057957,0.074265,0,lunch_restart
17,9,0.091051,0.250179,0.051275,0.083658,0,lunch_restart
18,0,0.446366,0.654812,0.207032,0.271771,2,imbalanced_ap_load
18,1,0.475319,0.666651,0.295343,0.2995,2,imbalanced_ap_load
18,2,0.503498,0.657317,0.279516,0.282729,2,imbalanced_ap_load
18,3,0.464168,0.675126,0.286416,0.325781,2,imbalanced_ap_load
18,4,0.500329,0.703361,0.280991,0.333989,2,imbalanced_ap_load
18,5,0.506759,0.675993,0.307677,0.300614,2,imbalanced_ap_load
18,6,0.553659,0.698402,0.325726,0.363483,2,imbalanced_ap_load
18,7,0.542172,0.718975,0.346663,0.335487,2,imbalanced_ap_load
18,8,0.52241,0.694711,0.370249,0.344794,2,imbalanced_ap_load
18,9,0.544317,0.739508,0.344467,0.355176,2,imbalanced_ap_load
19,0,0.072027,0.173713,0.053084,0.077015,0,lunch_restart
19,1,0.082204,0.197144,0.059201,0.079644,0,lunch_restart
19,2,0.08411,0.219715,0.064416,0.079718,0,lunch_restart
19,3,0.076033,0.219655,0.046242,0.066657,0,lunch_restart
19,4,0.085515,0.212472,0.057957,0.074265,0,lunch_restart
19,5,0.091051,0.250179,0.051275,0.083658,0,lunch_restart
19,6,0.102136,0.239585,0.069392,0.075235,0,lunch_restart
19,7,0.115607,0.224711,0.041523,0.079696,0,lunch_restart
19,8,0.120489,0.250824,0.053913,0.093745,0,lunch_restart
19,9,0.09544,0.262547,0.027747,0.093666,0,lunch_restart
20,0,0.32887,0.542092,0.303256,0.282857,1,lunch_restart
20,1,0.389987,0.582297,0.269917,0.278439,1,lunch_restart
20,2,0.335366,0.587436,0.307481,0.319183,1,lunch_restart
20,3,0.375631,0.59481,0.317455,0.278012,1,lunch_restart
20,4,0.411535,0.593845,0.31188,0.313538,1,lunch_restart
20,5,0.402592,0.585773,0.348639,0.326127,1,lunch_restart
20,6,0.371815,0.653157,0.343085,0.330001,1,lunch_restart
20,7,0.45145,0.615342,0.391894,0.370046,1,lunch_restart
20,8,0.400167,0.642374,0.356752,0.352802,1,lunch_restart
20,9,0.421853,0.648332,0.361573,0.33994,1,lunch_restart
21,0,0.584238,0.698376,0.2291,0.198632,2,startup_surge
21,1,0.541667,0.728456,0.388063,0.274053,2,startup_surge
21,2,0.564872,0.73695,0.420614,0.39056,2,startup_surge
21,3,0.678589,0.706271,0.384448,0.339487,2,startup_surge
21,4,0.578563,0.764069,0.305874,0.337254,2,startup_surge
21,5,0.460413,0.76101,0.366757,0.327337,2,startup_surge
21,6,0.621013,0.746538,0.471908,0.349206,2,startup_surge
21,7,0.520244,0.702089,0.477165,0.296477,2,startup_surge
21,8,0.503463,0.689062,0.269687,0.396833,2,startup_surge
21,9,0.641626,0.673927,0.228523,0.3137,2,startup_surge
22,0,0.021468,0.09317,0.00186,0.027716,0,lunch_restart
22,1,0.028484,0.08377,0.002536,0.020913,0,lunch_restart
22,2,0.023617,0.097761,0.006392,0.016219,0,lunch_restart
22,3,0.029103,0.090022,0.002613,0.010882,0,lunch_restart
22,4,0.021583,0.077969,0.002183,0.01071,0,lunch_restart
22,5,0.010424,0.073019,0.001337,0.02155,0,lunch_restart
22,6,0.018958,0.09733,0.002718,0.024062,0,lunch_restart
22,7,0.028065,0.071199,0.002424,0.017711,0,lunch_restart
22,8,0.010675,0.077245,0.004899,0.015752,0,lunch_restart
22,9,0.02236,0.066687,0.002313,0.026131,0,lunch_restart
23,0,0.679264,0.745168,0.297301,0.36148,2,startup_surge
23,1,0.605943,0.753629,0.246289,0.21904,2,startup_surge
23,2,0.564982,0.768177,0.341795,0.31546,2,startup_surge
23,3,0.657124,0.677617,0.269539,0.195392,2,startup_surge
23,4,0.691055,0.698609,0.406098,0.182282,2,startup_surge
23,5,0.463573,0.698063,0.414477,0.250159,2,startup_surge
23,6,0.475882,0.776817,0.202455,0.357242,2,startup_surge
23,7,0.676272,0.729949,0.48626,0.189094,2,startup_surge
23,8,0.474849,0.7005,0.477501,0.260256,2,startup_surge
23,9,0.628542,0.695848,0.239582,0.340299,2,startup_surge
24,0,0.035017,0.127414,0.007868,0.034847,0,lunch_restart
24,1,0.045396,0.139471,0.006386,0.03974,0,lunch_restart
24,2,0.049007,0.142902,0.007984,0.043163,0,lunch_restart
24,3,0.049278,0.139652,0.033263,0.049931,0,lunch_restart
24,4,0.062618,0.174274,0.029552,0.062692,0,lunch_restart
24,5,0.058313,0.160753,0.036501,0.057625,0,lunch_restart
24,6,0.086252,0.159685,0.032722,0.05551,0,lunch_restart
24,7,0.060432,0.173028,0.038826,0.057254,0,lunch_restart
24,8,0.09497,0.194023,0.041529,0.066708,0,lunch_restart
24,9,0.08321,0.212015,0.033867,0.064076,0,lunch_restart
25,0,0.028725,0.109616,0.021171,0.038628,0,lunch_restart
25,1,0.031526,0.112001,0.01916,0.028489,0,lunch_restart
25,2,0.045755,0.116895,0.007279,0.048,0,lunch_restart
25,3,0.070428,0.142388,0.014888,0.050568,0,lunch_restart
25,4,0.077096,0.129647,0.031412,0.062197,0,lunch_restart
25,5,0.082217,0.172752,0.019456,0.062896,0,lunch_restart
25,6,0.065757,0.174778,0.029671,0.05735,0,lunch_restart
25,7,0.079511,0.159721,0.031994,0.085839,0,lunch_restart
25,8,0.078917,0.176469,0.031198,0.070602,0,lunch_restart
25,9,0.074735,0.20643,0.031345,0.078023,0,lunch_restart
26,0,0.301181,0.314542,0.064747,0.140117,0,emergency_ramp
26,1,0.439962,0.354406,0.036154,0.124933,0,emergency_ramp
26,2,0.320329,0.33473,0.034752,0.102656,0,emergency_ramp
26,3,0.409219,0.327565,0.072161,0.138897,0,emergency_ramp
26,4,0.331464,0.349478,0.070839,0.135669,0,emergency_ramp
26,5,0.398946,0.320312,0.08711,0.078362,0,emergency_ramp
26,6,0.458525,0.32787,0.038527,0.131578,0,emergency_ramp
26,7,0.357822,0.347208,0.093146,0.139258,0,emergency_ramp
26,8,0.330537,0.359156,0.034575,0.150088,0,emergency_ramp
26,9,0.362899,0.375272,0.053424,0.132962,0,emergency_ramp
27,0,0.067405,0.198087,0.028745,0.030401,0,startup_surge
27,1,0.071956,0.180647,0.003376,0.051232,0,startup_surge
27,2,0.091899,0.139172,0.002162,0.027505,0,startup_surge
27,3,0.084484,0.111974,0.029036,0.054491,0,startup_surge
27,4,0.077754,0.121789,0.010836,0.054941,0,startup_surge
27,5,0.083935,0.178336,0.026546,0.052697,0,startup_surge
27,6,0.076059,0.145696,0.025802,0.032841,0,startup_surge
27,7,0.092329,0.215834,0.058793,0.06351,0,startup_surge
27,8,0.102789,0.221482,0.065367,0.036434,0,startup_surge
27,9,0.140457,0.201635,0.044827,0.078923,0,startup_surge
28,0,0.036743,0.127141,0.010205,0.038013,0,lunch_restart
28,1,0.028027,0.108484,0.0,0.054334,0,lunch_restart
28,2,0.040974,0.119962,0.007185,0.047333,0,lunch_restart
28,3,0.032636,0.126097,0.035507,0.051894,0,lunch_restart
28,4,0.064092,0.140098,0.027082,0.050379,0,lunch_restart
28,5,0.057198,0.150093,0.028857,0.050303,0,lunch_restart
28,6,0.063142,0.166773,0.021201,0.052042,0,lunch_restart
28,7,0.075349,0.175538,0.034245,0.045561,0,lunch_restart
28,8,0.059839,0.178379,0.034757,0.065136,0,lunch_restart
28,9,0.071497,0.202064,0.030464,0.068072,0,lunch_restart
29,0,0.079646,0.231542,0.065583,0.068855,0,lunch_restart
29,1,0.109305,0.231795,0.047074,0.066116,0,lunch_restart
29,2,0.114817,0.233024,0.035862,0.076307,0,lunch_restart
29,3,0.095719,0.216008,0.074432,0.080859,0,lunch_restart
29,4,0.094943,0.260394,0.084339,0.083757,0,lunch_restart
29,5,0.116951,0.25868,0.082404,0.085048,0,lunch_restart
29,6,0.105188,0.256615,0.06872,0.114661,0,lunch_restart
29,7,0.148677,0.288837,0.079947,0.058599,0,lunch_restart
29,8,0.170141,0.317415,0.088575,0.140348,0,lunch_restart
29,9,0.14154,0.279975,0.102289,0.114858,0,lunch_restart
30,0,0.092006,0.100498,0.01333,0.029654,0,startup_surge
30,1,0.080735,0.174245,0.003121,0.056936,0,startup_surge
30,2,0.078345,0.152401,0.030364,0.054505,0,startup_surge
30,3,0.069159,0.184278,0.019139,0.035149,0,startup_surge
30,4,0.07656,0.145036,0.017031,0.028087,0,startup_surge
30,5,0.083545,0.116254,0.015032,0.034194,0,startup_surge
30,6,0.064526,0.165596,0.006259,0.047717,0,startup_surge
30,7,0.097672,0.191496,0.012262,0.033066,0,startup_surge
30,8,0.051092,0.109053,0.010852,0.039018,0,startup_surge
30,9,0.066761,0.118164,0.011905,0.057977,0,startup_surge
31,0,0.02235,0.055788,0.004387,0.016366,0,lunch_restart
31,1,0.015591,0.076841,0.00191,0.024779,0,lunch_restart
31,2,0.010717,0.092572,0.006125,0.01474,0,lunch_restart
31,3,0.025556,0.075751,0.006054,0.016255,0,lunch_restart
31,4,0.011736,0.053424,0.000485,0.020593,0,lunch_restart
31,5,0.016564,0.051566,0.006112,0.022999,0,lunch_restart
31,6,0.021899,0.093024,0.001212,0.012984,0,lunch_restart
31,7,0.022475,0.061214,0.004542,0.023093,0,lunch_restart
31,8,0.023325,0.076285,0.005487,0.017621,0,lunch_restart
31,9,0.02989,0.088839,0.001608,0.016923,0,lunch_restart
32,0,0.338113,0.555692,0.227386,0.227207,1,lunch_restart
32,1,0.341986,0.556697,0.269049,0.260166,1,lunch_restart
32,2,0.333,0.568683,0.251064,0.255259,1,lunch_restart
32,3,0.356102,0.558297,0.325899,0.24935,1,lunch_restart
32,4,0.327676,0.566823,0.32139,0.299795,1,lunch_restart
32,5,0.319687,0.562961,0.284925,0.285786,1,lunch_restart
32,6,0.36491,0.599131,0.329057,0.270029,1,lunch_restart
32,7,0.399117,0.616291,0.327469,0.314437,1,lunch_restart
32,8,0.427268,0.591745,0.285387,0.274996,1,lunch_restart
32,9,0.397675,0.634013,0.318524,0.335418,1,lunch_restart
33,0,0.245284,0.29729,0.116656,0.110824,1,startup_surge
33,1,0.249087,0.397702,0.163214,0.146439,1,startup_surge
33,2,0.239125,0.364276,0.137631,0.129257,1,startup_surge
33,3,0.258792,0.397122,0.183577,0.140219,1,startup_surge
33,4,0.264791,0.408942,0.161016,0.133297,1,startup_surge
33,5,0.265895,0.439785,0.13288,0.146894,1,startup_surge
33,6,0.281368,0.424807,0.194752,0.14981,1,startup_surge
33,7,0.317808,0.425136,0.171448,0.138611,1,startup_surge
33,8,0.312724,0.47846,0.178012,0.181032,1,startup_surge
33,9,0.337604,0.513925,0.226233,0.17867,1,startup_surge
34,0,0.113488,0.261172,0.06336,0.13338,1,lunch_restart
34,1,0.148928,0.272768,0.088474,0.112621,1,lunch_restart
34,2,0.149057,0.2787,0.08948,0.110745,1,lunch_restart
34,3,0.189265,0.295554,0.12062,0.097437,1,lunch_restart
34,4,0.181367,0.281232,0.134623,0.134031,1,lunch_restart
34,5,0.156747,0.370353,0.131666,0.12103,1,lunch_restart
34,6,0.18226,0.314173,0.150907,0.162159,1,lunch_restart
34,7,0.195474,0.381967,0.189518,0.119965,1,lunch_restart
34,8,0.224396,0.391931,0.132518,0.19214,1,lunch_restart
34,9,0.225714,0.40351,0.194072,0.173214,1,lunch_restart
35,0,0.13459,0.242566,0.065707,0.076567,1,lunch_restart
35,1,0.120129,0.287846,0.076556,0.1045,1,lunch_restart
35,2,0.132235,0.298091,0.111211,0.131429,1,lunch_restart
35,3,0.162847,0.321514,0.141669,0.120705,1,lunch_restart
35,4,0.181918,0.318455,0.13807,0.141335,1,lunch_restart
35,5,0.194334,0.36462,0.174203,0.132881,1,lunch_restart
35,6,0.196456,0.405255,0.160126,0.16478,1,lunch_restart
35,7,0.208072,0.371739,0.17117,0.17813,1,lunch_restart
35,8,0.224063,0.412616,0.186135,0.157233,1,lunch_restart
35,9,0.248903,0.443588,0.214077,0.17797,1,lunch_restart
36,0,0.4656,0.366941,0.044088,0.147434,0,emergency_ramp
36,1,0.490601,0.389769,0.049441,0.121819,0,emergency_ramp
36,2,0.361367,0.316748,0.045558,0.146159,0,emergency_ramp
36,3,0.392065,0.34174,0.069473,0.123037,0,emergency_ramp
36,4,0.417669,0.316883,0.036161,0.117409,0,emergency_ramp
36,5,0.420699,0.30534,0.06434,0.149858,0,emergency_ramp
36,6,0.466728,0.316222,0.0934,0.110086,0,emergency_ramp
36,7,0.368793,0.332391,0.04265,0.1318,0,emergency_ramp
36,8,0.42171,0.349347,0.072718,0.07191,0,emergency_ramp
36,9,0.317461,0.347147,0.036112,0.078474,0,emergency_ramp
37,0,0.063989,0.148197,0.022901,0.037433,0,lunch_restart
37,1,0.065251,0.144972,0.017114,0.043215,0,lunch_restart
37,2,0.055104,0.160993,0.023458,0.034054,0,lunch_restart
37,3,0.06127,0.180798,0.013267,0.066309,0,lunch_restart
37,4,0.067526,0.150787,0.054632,0.048761,0,lunch_restart
37,5,0.073823,0.158632,0.035614,0.05586,0,lunch_restart
37,6,0.069174,0.189444,0.043421,0.055843,0,lunch_restart
37,7,0.092307,0.18818,0.036555,0.064478,0,lunch_restart
37,8,0.090301,0.200364,0.038964,0.081905,0,lunch_restart
37,9,0.093081,0.202152,0.068146,0.097083,0,lunch_restart
38,0,0.857022,0.900779,0.83614,0.791244,3,emergency_ramp
38,1,0.917196,0.926747,0.897163,0.811043,3,emergency_ramp
38,2,0.923377,0.914354,0.876612,0.931856,3,emergency_ramp
38,3,0.899034,0.956416,0.832257,0.873059,3,emergency_ramp
38,4,0.932684,0.939096,0.945627,0.863244,3,emergency_ramp
38,5,0.938473,0.978314,0.93482,0.861641,3,emergency_ramp
38,6,0.934732,0.982379,0.88032,0.911583,3,emergency_ramp
38,7,0.938788,0.949087,0.929132,0.99135,3,emergency_ramp
38,8,0.977024,0.955907,0.924979,0.972245,3,emergency_ramp
38,9,0.969527,0.987241,0.990337,0.965891,3,emergency_ramp
39,0,0.083233,0.183596,0.020903,0.030003,0,startup_surge
39,1,0.054673,0.17194,0.007,0.022707,0,startup_surge
39,2,0.09937,0.115013,0.000189,0.030251,0,startup_surge
39,3,0.066034,0.193356,0.002168,0.033628,0,startup_surge
39,4,0.096895,0.183976,0.012901,0.086273,0,startup_surge
39,5,0.071722,0.216,0.053351,0.092475,0,startup_surge
39,6,0.143506,0.232539,0.075891,0.040404,0,startup_surge
39,7,0.157792,0.257241,0.042612,0.069274,0,startup_surge
39,8,0.156521,0.19635,0.044528,0.101032,0,startup_surge
39,9,0.175919,0.296199,0.076819,0.097287,0,startup_surge
40,0,0.02417,0.088484,0.001921,0.01521,0,lunch_restart
40,1,0.018391,0.078435,0.005201,0.011284,0,lunch_restart
40,2,0.017427,0.095715,0.001063,0.022676,0,lunch_restart
40,3,0.018792,0.073413,0.006165,0.022677,0,lunch_restart
40,4,0.019139,0.070582,0.006277,0.016361,0,lunch_restart
40,5,0.010015,0.085995,0.002299,0.029185,0,lunch_restart
40,6,0.013772,0.087433,0.005148,0.025781,0,lunch_restart
40,7,0.022187,0.067725,0.006147,0.028048,0,lunch_restart
40,8,0.010349,0.07378,0.006128,0.019388,0,lunch_restart
40,9,0.015529,0.060791,0.000763,0.020476,0,lunch_restart
41,0,0.339526,0.33904,0.036816,0.103365,0,emergency_ramp
41,1,0.374416,0.317728,0.044736,0.156215,0,emergency_ramp
41,2,0.456048,0.380653,0.074437,0.125249,0,emergency_ramp
41,3,0.405418,0.387673,0.085007,0.070946,0,emergency_ramp
41,4,0.334898,0.304657,0.083737,0.110927,0,emergency_ramp
41,5,0.379211,0.371617,0.072245,0.129562,0,emergency_ramp
41,6,0.425187,0.358114,0.038984,0.066537,0,emergency_ramp
41,7,0.494645,0.323529,0.034486,0.094465,0,emergency_ramp
41,8,0.432362,0.357164,0.085476,0.131708,0,emergency_ramp
41,9,0.303239,0.311578,0.069958,0.075707,0,emergency_ramp
42,0,0.071007,0.145823,0.01464,0.053193,0,startup_surge
42,1,0.089062,0.129053,0.019496,0.034803,0,startup_surge
